Month,GMT,RNXO,RO3,RPM25,RSO2
1.7.17,14:00,118.5258065,1535,10.1,1.190322581
1.4.16,01:00,71.76,1429,11.51666667,5.27
1.8.11,01:00,64.24193548,670,10.15483871,2.212903226
1.9.13,21:00,147.6466667,18,19.24,2.346666667
1.6.11,08:00,141.3066667,921,13.12333333,2.886666667
1.1.11,00:00,106.483871,807,17.26129032,3.319354839
1.12.17,03:00,56.62580645,1210,7.509677419,4.174193548
1.6.17,23:00,74.00666667,1288,12.01333333,1.586666667
1.5.10,08:00,146.6064516,1450,17.26451613,4.658064516
1.12.18,01:00,75.37419355,1181,10.79677419,1.12
1.11.16,06:00,216.8566667,95,13.01666667,7.666666667
1.4.14,18:00,136.3266667,1476,16.52333333,1.82
1.9.10,03:00,75.43,362,12.19,2.516666667
1.5.17,10:00,130.7129032,1575,12.11290323,2.361290323
1.11.14,21:00,204.5413793,16,25.22068966,3.575862069
1.10.18,01:00,63.15806452,725,9.703225806,-1.24516129
1.5.14,02:00,64.92903226,1365,15.86129032,0.480645161
1.6.16,06:00,166.6133333,548,12.93666667,6.9
1.5.17,06:00,157.0870968,680,13.71612903,2.990322581
1.5.13,14:00,140.383871,1884,12.91612903,4.025806452
1.8.16,06:00,159.6709677,180,12.90322581,2.841935484
1.9.14,13:00,163.9366667,1399,20.21333333,6.883333333
1.2.12,14:00,189.3448276,765,20.44482759,4.24137931
1.4.15,04:00,100.4533333,1002,15.53,0.36
1.6.13,03:00,57.98333333,1290,11.73333333,1.25
1.5.11,07:00,139.3322581,1302,14.66774194,3.116129032
1.3.18,07:00,165.0548387,582,15.54516129,4.761290323
1.6.17,01:00,47.55333333,1332,10.68333333,1.476666667
1.2.10,16:00,154.9285714,981,15.90357143,5.082142857
1.12.10,12:00,223.7451613,55,24.00322581,4.961290323
1.8.17,02:00,51.18064516,597,10.62258065,0.035483871
1.5.11,02:00,49.01612903,1758,12.41612903,1.732258065
1.9.16,12:00,157.37,1143,12.12333333,2.563333333
1.2.11,16:00,176.5071429,565,23.99642857,3.278571429
1.10.12,15:00,175.6774194,590,16.57419355,4.129032258
1.8.18,10:00,106.0451613,716,7.551612903,2.041935484
1.4.12,22:00,104.5766667,1597,13.62333333,2.006666667
1.5.15,10:00,135.3935484,1741,9.958064516,3.4
1.8.17,12:00,117.3032258,1208,8.916129032,0.532258065
1.8.11,16:00,133.6129032,1393,12.01290323,3.151612903
1.1.18,11:00,144.1516129,888,10.11290323,3.463333333
1.6.10,01:00,67.68,1054,16.89666667,3.383333333
1.10.17,00:00,71.23548387,986,9.335483871,1.312903226
1.11.14,11:00,246.437931,179,18.78965517,3.996551724
1.6.13,05:00,127.55,791,13.37333333,2.323333333
1.4.15,06:00,210.5066667,479,19.15666667,2.3
1.8.15,14:00,136.1806452,1633,10.54516129,0.387096774
1.12.12,18:00,216.8580645,464,15.81290323,4.364516129
1.12.15,16:00,167.3870968,1090,13.25806452,1.893548387
1.8.10,05:00,128.0225806,182,11.93870968,3.096774194
1.11.12,15:00,223.17,246,14.52666667,3.76
1.8.11,07:00,185.6548387,111,13.77741935,3.838709677
1.10.16,11:00,170.6483871,651,15.26129032,4.929032258
1.7.16,06:00,156.7967742,136,10.82903226,3.332258065
1.8.15,19:00,119.3677419,1260,14.56451613,0.548387097
1.6.17,22:00,85.68,1300,12.54666667,1.576666667
1.11.18,23:00,110.51,322,16.95666667,5.346666667
1.7.17,09:00,126.9483871,944,9.567741935,1.203225806
1.5.18,21:00,96.04193548,1582,21.60322581,1.24516129
1.9.14,17:00,166.7866667,1099,21.86,7.953333333
1.7.17,12:00,119.6967742,1359,9.551612903,0.967741935
1.5.11,23:00,78.06774194,1659,13.40967742,2.2
1.9.15,23:00,119.1066667,289,12.94666667,0.425
1.4.17,10:00,129.6633333,1793,10.96666667,3.556666667
1.9.12,04:00,102.52,403,11.43,2.123333333
